date,demand,gap,supply
2014-09-21 01:00:00,-548,-66,614
2014-09-21 02:00:00,-201,-69,270
2014-09-21 03:00:00,-188,-19,207
2014-09-21 04:00:00,-105,2,103
2014-09-21 05:00:00,-83,-9,92
2014-09-21 06:00:00,-51,-1,52
2014-09-21 07:00:00,-119,21,98
2014-09-21 08:00:00,-224,40,184
2014-09-21 09:00:00,-519,77,442
2014-09-21 10:00:00,-1062,109,953
2014-09-21 11:00:00,-1496,162,1334
2014-09-21 12:00:00,-1784,64,1720
2014-09-21 13:00:00,-2074,121,1953
2014-09-21 14:00:00,-2031,-19,2050
2014-09-21 15:00:00,-2188,49,2139
2014-09-21 16:00:00,-2076,-26,2102
2014-09-21 17:00:00,-2402,76,2326
2014-09-21 18:00:00,-2200,-98,2298
2014-09-21 19:00:00,-2105,-63,2168
2014-09-21 20:00:00,-1592,-187,1779
2014-09-21 21:00:00,-1199,-107,1306
2014-09-21 22:00:00,-812,-71,883
2014-09-21 23:00:00,-610,-31,641
2014-09-21 24:00:00,-411,-53,464
2014-09-22 01:00:00,-191,-51,242
2014-09-22 02:00:00,-79,-17,96
2014-09-22 03:00:00,-45,1,44
2014-09-22 04:00:00,-35,-3,38
2014-09-22 05:00:00,-41,1,40
2014-09-22 06:00:00,-181,44,137
2014-09-22 07:00:00,-829,147,682
2014-09-22 08:00:00,-1847,263,1584
2014-09-22 09:00:00,-3274,266,3008
2014-09-22 10:00:00,-2402,-306,2708
2014-09-22 11:00:00,-1290,-140,1430
2014-09-22 12:00:00,-1305,34,1271
2014-09-22 13:00:00,-1515,30,1485
2014-09-22 14:00:00,-1543,-1,1544
2014-09-22 15:00:00,-1688,-9,1697
2014-09-22 16:00:00,-1841,87,1754
2014-09-22 17:00:00,-2246,147,2099
2014-09-22 18:00:00,-3737,296,3441
2014-09-22 19:00:00,-3536,-193,3729
2014-09-22 20:00:00,-2280,-293,2573
2014-09-22 21:00:00,-1406,-151,1557
2014-09-22 22:00:00,-923,-82,1005
2014-09-22 23:00:00,-630,-53,683
2014-09-22 24:00:00,-375,-30,405
2014-09-23 01:00:00,-182,-45,227
2014-09-23 02:00:00,-92,-18,110
2014-09-23 03:00:00,-45,0,45
2014-09-23 04:00:00,-25,-4,29
2014-09-23 05:00:00,-40,5,35
2014-09-23 06:00:00,-216,48,168
2014-09-23 07:00:00,-964,168,796
2014-09-23 08:00:00,-2064,292,1772
2014-09-23 09:00:00,-3443,206,3237
2014-09-23 10:00:00,-2541,-303,2844
2014-09-23 11:00:00,-1458,-94,1552
2014-09-23 12:00:00,-1378,22,1356
2014-09-23 13:00:00,-1585,74,1511
2014-09-23 14:00:00,-1709,5,1704
2014-09-23 15:00:00,-1677,-19,1696
2014-09-23 16:00:00,-1903,108,1795
2014-09-23 17:00:00,-2435,154,2281
2014-09-23 18:00:00,-4031,304,3727
2014-09-23 19:00:00,-3894,-212,4106
2014-09-23 20:00:00,-2583,-287,2870
2014-09-23 21:00:00,-1632,-161,1793
2014-09-23 22:00:00,-1170,-70,1240
2014-09-23 23:00:00,-796,-79,875
2014-09-23 24:00:00,-484,-74,558
2014-09-24 01:00:00,-258,-46,304
2014-09-24 02:00:00,-105,-18,123
2014-09-24 03:00:00,-50,-1,51
2014-09-24 04:00:00,-39,-5,44
2014-09-24 05:00:00,-44,4,40
2014-09-24 06:00:00,-241,62,179
2014-09-24 07:00:00,-1068,192,876
2014-09-24 08:00:00,-2133,237,1896
2014-09-24 09:00:00,-3490,259,3231
2014-09-24 10:00:00,-2478,-356,2834
2014-09-24 11:00:00,-1436,-117,1553
2014-09-24 12:00:00,-1354,61,1293
2014-09-24 13:00:00,-1649,11,1638
2014-09-24 14:00:00,-1697,7,1690
2014-09-24 15:00:00,-1873,69,1804
2014-09-24 16:00:00,-1912,-1,1913
2014-09-24 17:00:00,-2328,126,2202
2014-09-24 18:00:00,-3691,236,3455
2014-09-24 19:00:00,-3654,-89,3743
2014-09-24 20:00:00,-2256,-301,2557
2014-09-24 21:00:00,-1424,-137,1561
